country,lat_long,lat,lon,population_str,population,median_age_str,median_age_total,median_age_male,median_age_female,male_minus_female,age_dist_str,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc,0-14_male,0-14_female,15-24_male,15-24_female,25-54_male,25-54_female,55-64_male,55-64_female,65+_male,65+_female,migration_str,migration,birth_rate,death_rate,pop_growth,map_ref,life_exp_total,life_exp_male,life_exp_female
Cameroon,"6 00 N, 12 00 E",6.0,12.0,"24,994,885
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",24994885,"total: 18.5 years
male: 18.4 years
female: 18.7 years (2017 est.)",18.5,18.4,18.7,-0.3000000000000007,"0-14 years: 42.39% (male 5,337,879/female 5,257,026)
15-24 years: 19.56% (male 2,456,061/female 2,432,500)
25-54 years: 30.87% (male 3,880,906/female 3,835,107)
55-64 years: 3.98% (male 485,059/female 509,649)
65 years and over: 3.2% (male 372,415/female 428,283) (2017 est.)",42.39,19.56,30.87,3.98,3.2,5337879,5257026,2456061,2432500,3880906,3835107,485059,509649,372415,428283,"-0.1 migrant(s)/1,000 population (2017 est.)",-0.1,35.4,9.6,25.8,Africa,59.0,57.6,60.4
Canada,"60 00 N, 95 00 W",60.0,-95.0,"35,623,680 (July 2017 est.)",35623680,"total: 42.2 years
male: 40.9 years
female: 43.5 years (2017 est.)",42.2,40.9,43.5,-2.6000000000000014,"0-14 years: 15.44% (male 2,819,279/female 2,680,024)
15-24 years: 11.85% (male 2,171,703/female 2,048,546)
25-54 years: 39.99% (male 7,227,145/female 7,020,156)
55-64 years: 14.1% (male 2,492,120/female 2,529,652)
65 years and over: 18.63% (male 2,958,721/female 3,676,334) (2017 est.)",15.44,11.85,39.99,14.1,18.63,2819279,2680024,2171703,2048546,7227145,7020156,2492120,2529652,2958721,3676334,"5.7 migrant(s)/1,000 population (2017 est.)",5.7,10.3,8.7,1.6000000000000014,North America,81.9,79.3,84.7
Cayman Islands,"19 30 N, 80 30 W",19.5,-80.5,"58,441
note: most of the population lives on Grand Cayman (July 2017 est.)",58441,"total: 40 years
male: 39.3 years
female: 40.7 years (2017 est.)",40.0,39.3,40.7,-1.4000000000000057,"0-14 years: 18% (male 5,298/female 5,224)
15-24 years: 12.41% (male 3,601/female 3,654)
25-54 years: 42.52% (male 12,123/female 12,727)
55-64 years: 14.47% (male 4,030/female 4,427)
65 years and over: 12.59% (male 3,425/female 3,932) (2017 est.)",18.0,12.41,42.52,14.47,12.59,5298,5224,3601,3654,12123,12727,4030,4427,3425,3932,"13.8 migrant(s)/1,000 population
note: major destination for Cubans trying to migrate to the US (2017 est.)",13.8,12.0,5.8,6.2,Central America and the Caribbean,81.3,78.6,84.1
Central African Republic,"7 00 N, 21 00 E",7.0,21.0,"5,625,118
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",5625118,"total: 19.7 years
male: 19.4 years
female: 20 years (2017 est.)",19.7,19.4,20.0,-0.6000000000000014,"0-14 years: 40.09% (male 1,133,361/female 1,121,640)
15-24 years: 19.94% (male 563,730/female 557,676)
25-54 years: 32.45% (male 913,363/female 912,096)
55-64 years: 4.1% (male 106,651/female 123,839)
65 years and over: 3.43% (male 74,834/female 117,928) (2017 est.)",40.09,19.94,32.45,4.1,3.43,1133361,1121640,563730,557676,913363,912096,106651,123839,74834,117928,"0 migrant(s)/1,000 population (2017 est.)",0.0,34.3,13.2,21.1,Africa,52.8,51.4,54.2
Chad,"15 00 N, 19 00 E",15.0,19.0,"12,075,985 (July 2017 est.)",12075985,"total: 17.8 years
male: 16.8 years
female: 18.8 years (2017 est.)",17.8,16.8,18.8,-2.0,"0-14 years: 43.02% (male 2,634,817/female 2,560,790)
15-24 years: 21.46% (male 1,267,944/female 1,324,115)
25-54 years: 28.62% (male 1,574,782/female 1,881,183)
55-64 years: 3.88% (male 206,627/female 261,586)
65 years and over: 3.02% (male 150,364/female 213,777) (2017 est.)",43.02,21.46,28.62,3.88,3.02,2634817,2560790,1267944,1324115,1574782,1881183,206627,261586,150364,213777,"-3.2 migrant(s)/1,000 population (2017 est.)",-3.2,35.6,13.8,21.8,Africa,50.6,49.4,51.9
Chile,"30 00 S, 71 00 W",-30.0,-71.0,"17,789,267 (July 2017 est.)",17789267,"total: 34.4 years
male: 33.2 years
female: 35.6 years (2017 est.)",34.4,33.2,35.6,-2.3999999999999986,"0-14 years: 20.11% (male 1,825,254/female 1,751,735)
15-24 years: 15.04% (male 1,364,831/female 1,311,216)
25-54 years: 43.08% (male 3,830,538/female 3,832,989)
55-64 years: 10.96% (male 918,559/female 1,031,153)
65 years and over: 10.81% (male 805,880/female 1,117,112) (2017 est.)",20.11,15.04,43.08,10.96,10.81,1825254,1751735,1364831,1311216,3830538,3832989,918559,1031153,805880,1117112,"0.3 migrant(s)/1,000 population (2017 est.)",0.3,13.6,6.2,7.399999999999999,South America,78.9,75.9,82.1
China,"35 00 N, 105 00 E",35.0,105.0,"1,379,302,771 (July 2017 est.)",1379302771,"total: 37.4 years
male: 36.5 years
female: 38.4 years (2017 est.)",37.4,36.5,38.4,-1.8999999999999984,"0-14 years: 17.15% (male 127,484,177/female 109,113,241)
15-24 years: 12.78% (male 94,215,607/female 82,050,623)
25-54 years: 48.51% (male 341,466,438/female 327,661,460)
55-64 years: 10.75% (male 74,771,050/female 73,441,177)
65 years and over: 10.81% (male 71,103,029/female 77,995,969) (2017 est.)",17.15,12.78,48.51,10.75,10.81,127484177,109113241,94215607,82050623,341466438,327661460,74771050,73441177,71103029,77995969,"-0.4 migrant(s)/1,000 population (2017 est.)",-0.4,12.3,7.8,4.500000000000001,Asia,75.7,73.6,78.0
Colombia,"4 00 N, 72 00 W",4.0,-72.0,"47,698,524 (July 2017 est.)",47698524,"total: 30 years
male: 29 years
female: 31 years (2017 est.)",30.0,29.0,31.0,-2.0,"0-14 years: 24.22% (male 5,917,425/female 5,634,516)
15-24 years: 17.25% (male 4,191,033/female 4,038,314)
25-54 years: 41.91% (male 9,918,698/female 10,071,419)
55-64 years: 9.18% (male 2,059,712/female 2,318,320)
65 years and over: 7.44% (male 1,480,966/female 2,068,121) (2017 est.)",24.22,17.25,41.91,9.18,7.44,5917425,5634516,4191033,4038314,9918698,10071419,2059712,2318320,1480966,2068121,"-0.6 migrant(s)/1,000 population (2017 est.)",-0.6,16.1,5.5,10.6,South America,75.9,72.8,79.3
Comoros,"12 10 S, 44 15 E",-12.166666666666664,44.25,"808,080 (July 2017 est.)",808080,"total: 19.9 years
male: 19.2 years
female: 20.5 years (2017 est.)",19.9,19.2,20.5,-1.3000000000000007,"0-14 years: 39.35% (male 158,516/female 159,491)
15-24 years: 19.53% (male 76,425/female 81,393)
25-54 years: 32.91% (male 126,279/female 139,659)
55-64 years: 4.27% (male 15,375/female 19,133)
65 years and over: 3.94% (male 14,605/female 17,204) (2017 est.)",39.35,19.53,32.91,4.27,3.94,158516,159491,76425,81393,126279,139659,15375,19133,14605,17204,"-2.4 migrant(s)/1,000 population (2017 est.)",-2.4,26.1,7.2,18.9,Africa,64.6,62.3,67.0
"Congo, Democratic Republic of the","0 00 N, 25 00 E",0.0,25.0,"83,301,151
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",83301151,"total: 18.6 years
male: 18.3 years
female: 18.8 years (2017 est.)",18.6,18.3,18.8,-0.5,"0-14 years: 41.74% (male 17,525,063/female 17,241,929)
15-24 years: 21.46% (male 8,969,922/female 8,909,903)
25-54 years: 30.53% (male 12,691,612/female 12,738,316)
55-64 years: 3.6% (male 1,421,619/female 1,579,034)
65 years and over: 2.67% (male 941,926/female 1,281,827) (2017 est.)",41.74,21.46,30.53,3.6,2.67,17525063,17241929,8969922,8909903,12691612,12738316,1421619,1579034,941926,1281827,"-0.2 migrant(s)/1,000 population (2017 est.)",-0.2,33.5,9.6,23.9,Africa,57.7,56.1,59.3
"Congo, Republic of the","1 00 S, 15 00 E",-1.0,15.0,"4,954,674
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",4954674,"total: 19.7 years
male: 19.5 years
female: 19.8 years (2017 est.)",19.7,19.5,19.8,-0.3000000000000007,"0-14 years: 41.67% (male 1,041,761/female 1,022,763)
15-24 years: 17.1% (male 424,521/female 422,755)
25-54 years: 33.89% (male 843,856/female 835,041)
55-64 years: 4.29% (male 106,776/female 105,573)
65 years and over: 3.06% (male 66,962/female 84,666) (2017 est.)",41.67,17.1,33.89,4.29,3.06,1041761,1022763,424521,422755,843856,835041,106776,105573,66962,84666,"-3.8 migrant(s)/1,000 population (2017 est.)",-3.8,34.4,9.5,24.9,Africa,59.8,58.6,61.1
Costa Rica,"10 00 N, 84 00 W",10.0,-84.0,"4,930,258 (July 2017 est.)",4930258,"total: 31.3 years
male: 30.8 years
female: 31.8 years (2017 est.)",31.3,30.8,31.8,-1.0,"0-14 years: 22.61% (male 570,063/female 544,502)
15-24 years: 16.35% (male 410,993/female 394,865)
25-54 years: 44.03% (male 1,092,504/female 1,078,458)
55-64 years: 9.2% (male 220,879/female 232,530)
65 years and over: 7.82% (male 177,882/female 207,582) (2017 est.)",22.61,16.35,44.03,9.2,7.82,570063,544502,410993,394865,1092504,1078458,220879,232530,177882,207582,"0.8 migrant(s)/1,000 population (2017 est.)",0.8,15.5,4.7,10.8,Central America and the Caribbean,78.7,76.1,81.5
Cote d'Ivoire,"8 00 N, 5 00 W",8.0,-5.0,"24,184,810
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",24184810,"total: 20.9 years
male: 21 years
female: 20.9 years (2017 est.)",20.9,21.0,20.9,0.10000000000000142,"0-14 years: 36.97% (male 4,508,541/female 4,431,979)
15-24 years: 20.91% (male 2,549,588/female 2,508,317)
25-54 years: 34.58% (male 4,272,294/female 4,090,997)
55-64 years: 4.04% (male 490,918/female 486,702)
65 years and over: 3.5% (male 403,757/female 441,717) (2017 est.)",36.97,20.91,34.58,4.04,3.5,4508541,4431979,2549588,2508317,4272294,4090997,490918,486702,403757,441717,"0 migrant(s)/1,000 population (2017 est.)",0.0,27.7,9.4,18.3,Africa,59.0,57.8,60.2
Croatia,"45 10 N, 15 30 E",45.16666666666666,15.5,"4,292,095 (July 2017 est.)",4292095,"total: 43 years
male: 41.1 years
female: 45 years (2017 est.)",43.0,41.1,45.0,-3.899999999999999,"0-14 years: 14.21% (male 314,287/female 295,520)
15-24 years: 11.24% (male 247,394/female 235,166)
25-54 years: 40.43% (male 867,978/female 867,125)
55-64 years: 14.82% (male 309,794/female 326,102)
65 years and over: 19.31% (male 330,406/female 498,323) (2017 est.)",14.21,11.24,40.43,14.82,19.31,314287,295520,247394,235166,867978,867125,309794,326102,330406,498323,"-1.7 migrant(s)/1,000 population (2017 est.)",-1.7,8.9,12.2,-3.299999999999999,Europe,76.1,72.9,79.4
Cuba,"21 30 N, 80 00 W",21.5,-80.0,"11,147,407 (July 2017 est.)",11147407,"total: 41.5 years
male: 40.1 years
female: 42.6 years (2017 est.)",41.5,40.1,42.6,-2.5,"0-14 years: 16.57% (male 950,870/female 896,476)
15-24 years: 12.22% (male 706,882/female 655,446)
25-54 years: 44.43% (male 2,490,483/female 2,462,250)
55-64 years: 11.84% (male 640,150/female 679,603)
65 years and over: 14.94% (male 763,058/female 902,189) (2017 est.)",16.57,12.22,44.43,11.84,14.94,950870,896476,706882,655446,2490483,2462250,640150,679603,763058,902189,"-4.9 migrant(s)/1,000 population (2017 est.)",-4.9,10.7,8.7,2.0,Central America and the Caribbean,78.8,76.5,81.3
Curacao,"12 10 N, 69 00 W",12.166666666666664,-69.0,"149,648 (July 2017 est.)",149648,"total: 36.1 years
male: 33.5 years
female: 39.7 years (2017 est.)",36.1,33.5,39.7,-6.200000000000002,"0-14 years: 20% (male 15,274/female 14,661)
15-24 years: 14.33% (male 11,170/female 10,280)
25-54 years: 36.87% (male 27,152/female 28,029)
55-64 years: 13.69% (male 8,862/female 11,620)
65 years and over: 15.1% (male 9,270/female 13,330) (2017 est.)",20.0,14.33,36.87,13.69,15.1,15274,14661,11170,10280,27152,28029,8862,11620,9270,13330,"-1.3 migrant(s)/1,000 population (2017 est.)",-1.3,13.7,8.4,5.299999999999999,Central America and the Caribbean,78.5,76.2,80.9
Cyprus,"35 00 N, 33 00 E",35.0,33.0,"1,221,549 (July 2017 est.)",1221549,"total: 36.8 years
male: 35.5 years
female: 38.3 years (2017 est.)",36.8,35.5,38.3,-2.799999999999997,"0-14 years: 15.6% (male 97,955/female 92,648)
15-24 years: 13.81% (male 91,846/female 76,853)
25-54 years: 47.04% (male 303,297/female 271,364)
55-64 years: 11.45% (male 67,053/female 72,854)
65 years and over: 12.09% (male 63,870/female 83,809) (2017 est.)",15.6,13.81,47.04,11.45,12.09,97955,92648,91846,76853,303297,271364,67053,72854,63870,83809,"8.7 migrant(s)/1,000 population (2017 est.)",8.7,11.3,6.8,4.500000000000001,Middle East,78.8,76.0,81.8
Czechia,"49 45 N, 15 30 E",49.75,15.5,"10,674,723 (July 2017 est.)",10674723,"total: 42.1 years
male: 40.8 years
female: 43.4 years (2017 est.)",42.1,40.8,43.4,-2.6000000000000014,"0-14 years: 15.16% (male 831,150/female 786,984)
15-24 years: 9.59% (male 527,232/female 496,530)
25-54 years: 43.84% (male 2,403,333/female 2,276,261)
55-64 years: 12.44% (male 646,106/female 681,541)
65 years and over: 18.98% (male 842,384/female 1,183,202) (2017 est.)",15.16,9.59,43.84,12.44,18.98,831150,786984,527232,496530,2403333,2276261,646106,681541,842384,1183202,"2.3 migrant(s)/1,000 population (2017 est.)",2.3,9.3,10.5,-1.1999999999999993,Europe,78.8,75.8,81.9
Denmark,"56 00 N, 10 00 E",56.0,10.0,"5,605,948 (July 2017 est.)",5605948,"total: 42.2 years
male: 41.2 years
female: 43.2 years (2017 est.)",42.2,41.2,43.2,-2.0,"0-14 years: 16.41% (male 472,106/female 447,997)
15-24 years: 13.08% (male 374,379/female 358,927)
25-54 years: 38.76% (male 1,080,118/female 1,092,503)
55-64 years: 12.52% (male 349,091/female 352,903)
65 years and over: 19.23% (male 483,519/female 594,405) (2017 est.)",16.41,13.08,38.76,12.52,19.23,472106,447997,374379,358927,1080118,1092503,349091,352903,483519,594405,"2.1 migrant(s)/1,000 population (2017 est.)",2.1,10.5,10.3,0.1999999999999993,Europe,79.5,77.1,82.1
Djibouti,"11 30 N, 43 00 E",11.5,43.0,"865,267 (July 2017 est.)",865267,"total: 23.9 years
male: 22.1 years
female: 25.3 years (2017 est.)",23.9,22.1,25.3,-3.2,"0-14 years: 31.14% (male 135,151/female 134,312)
15-24 years: 21.32% (male 86,820/female 97,656)
25-54 years: 39.03% (male 140,242/female 197,484)
55-64 years: 4.75% (male 18,593/female 22,515)
65 years and over: 3.76% (male 14,559/female 17,935) (2017 est.)",31.14,21.32,39.03,4.75,3.76,135151,134312,86820,97656,140242,197484,18593,22515,14559,17935,"5.7 migrant(s)/1,000 population (2017 est.)",5.7,23.4,7.5,15.9,Africa,63.6,61.0,66.2
Dominica,"15 25 N, 61 20 W",15.416666666666664,-61.33333333333334,"73,897 (July 2017 est.)",73897,"total: 33.5 years
male: 33 years
female: 34 years (2017 est.)",33.5,33.0,34.0,-1.0,"0-14 years: 21.72% (male 8,210/female 7,843)
15-24 years: 15.14% (male 5,758/female 5,428)
25-54 years: 42.2% (male 15,809/female 15,372)
55-64 years: 9.81% (male 3,860/female 3,387)
65 years and over: 11.14% (male 3,679/female 4,551) (2017 est.)",21.72,15.14,42.2,9.81,11.14,8210,7843,5758,5428,15809,15372,3860,3387,3679,4551,"-5.4 migrant(s)/1,000 population (2017 est.)",-5.4,15.1,7.9,7.1999999999999975,Central America and the Caribbean,77.2,74.2,80.3
Dominican Republic,"19 00 N, 70 40 W",19.0,-70.66666666666667,"10,734,247 (July 2017 est.)",10734247,"total: 28.1 years
male: 27.9 years
female: 28.3 years (2017 est.)",28.1,27.9,28.3,-0.4000000000000021,"0-14 years: 26.63% (male 1,454,527/female 1,404,538)
15-24 years: 18.18% (male 993,642/female 957,466)
25-54 years: 39.66% (male 2,178,477/female 2,078,371)
55-64 years: 7.9% (male 426,810/female 421,727)
65 years and over: 7.63% (male 378,226/female 440,463) (2017 est.)",26.63,18.18,39.66,7.9,7.63,1454527,1404538,993642,957466,2178477,2078371,426810,421727,378226,440463,"-1.9 migrant(s)/1,000 population (2017 est.)",-1.9,18.4,4.7,13.7,Central America and the Caribbean,78.3,76.0,80.6
Ecuador,"2 00 S, 77 30 W",-2.0,-77.5,"16,290,913 (July 2017 est.)",16290913,"total: 27.7 years
male: 27 years
female: 28.4 years (2017 est.)",27.7,27.0,28.4,-1.3999999999999986,"0-14 years: 27.08% (male 2,250,000/female 2,161,123)
15-24 years: 18.35% (male 1,519,255/female 1,469,372)
25-54 years: 39.59% (male 3,145,954/female 3,303,520)
55-64 years: 7.53% (male 599,032/female 628,477)
65 years and over: 7.45% (male 576,196/female 637,984) (2017 est.)",27.08,18.35,39.59,7.53,7.45,2250000,2161123,1519255,1469372,3145954,3303520,599032,628477,576196,637984,"0 migrant(s)/1,000 population (2017 est.)",0.0,17.9,5.1,12.8,South America,77.0,74.0,80.1
Egypt,"27 00 N, 30 00 E",27.0,30.0,"97,041,072 (July 2017 est.)",97041072,"total: 23.9 years
male: 23.6 years
female: 24.2 years (2017 est.)",23.9,23.6,24.2,-0.5999999999999979,"0-14 years: 33.29% (male 16,720,307/female 15,583,019)
15-24 years: 18.94% (male 9,464,262/female 8,919,614)
25-54 years: 37.6% (male 18,545,422/female 17,944,582)
55-64 years: 5.95% (male 2,861,136/female 2,911,586)
65 years and over: 4.22% (male 1,993,248/female 2,097,896) (2017 est.)",33.29,18.94,37.6,5.95,4.22,16720307,15583019,9464262,8919614,18545422,17944582,2861136,2911586,1993248,2097896,"-0.5 migrant(s)/1,000 population (2017 est.)",-0.5,29.6,4.6,25.0,Africa,73.0,71.6,74.4
El Salvador,"13 50 N, 88 55 W",13.833333333333336,-88.91666666666669,"6,172,011 (July 2017 est.)",6172011,"total: 27.1 years
male: 25.6 years
female: 28.6 years (2017 est.)",27.1,25.6,28.6,-3.0,"0-14 years: 25.92% (male 820,255/female 779,306)
15-24 years: 20.23% (male 628,535/female 620,230)
25-54 years: 39.23% (male 1,120,705/female 1,300,771)
55-64 years: 7.14% (male 194,360/female 246,164)
65 years and over: 7.48% (male 203,320/female 258,365) (2017 est.)",25.92,20.23,39.23,7.14,7.48,820255,779306,628535,620230,1120705,1300771,194360,246164,203320,258365,"-8 migrant(s)/1,000 population (2017 est.)",-8.0,16.2,5.8,10.4,Central America and the Caribbean,74.9,71.6,78.3
Equatorial Guinea,"2 00 N, 10 00 E",2.0,10.0,"778,358 (July 2017 est.)",778358,"total: 19.8 years
male: 19.3 years
female: 20.3 years (2017 est.)",19.8,19.3,20.3,-1.0,"0-14 years: 39.81% (male 157,388/female 152,469)
15-24 years: 19.72% (male 78,145/female 75,348)
25-54 years: 32.15% (male 125,108/female 125,096)
55-64 years: 4.37% (male 14,676/female 19,349)
65 years and over: 3.95% (male 12,808/female 17,971) (2017 est.)",39.81,19.72,32.15,4.37,3.95,157388,152469,78145,75348,125108,125096,14676,19349,12808,17971,"0 migrant(s)/1,000 population (2017 est.)",0.0,32.2,7.8,24.4,Africa,64.6,63.4,65.8
Eritrea,"15 00 N, 39 00 E",15.0,39.0,"5,918,919 (July 2017 est.)",5918919,"total: 19.7 years
male: 19.2 years
female: 20.1 years (2017 est.)",19.7,19.2,20.1,-0.9000000000000021,"0-14 years: 40.17% (male 1,195,210/female 1,182,603)
15-24 years: 19.57% (male 576,315/female 582,143)
25-54 years: 32.63% (male 950,121/female 981,163)
55-64 years: 3.7% (male 94,767/female 124,528)
65 years and over: 3.92% (male 97,530/female 134,539) (2017 est.)",40.17,19.57,32.63,3.7,3.92,1195210,1182603,576315,582143,950121,981163,94767,124528,97530,134539,"-13.9 migrant(s)/1,000 population (2017 est.)",-13.9,29.6,7.2,22.4,Africa,65.2,62.7,67.8
Estonia,"59 00 N, 26 00 E",59.0,26.0,"1,251,581 (July 2017 est.)",1251581,"total: 42.7 years
male: 39.4 years
female: 46.1 years (2017 est.)",42.7,39.4,46.1,-6.700000000000002,"0-14 years: 16.23% (male 104,130/female 98,941)
15-24 years: 8.99% (male 58,432/female 54,122)
25-54 years: 41.37% (male 261,366/female 256,383)
55-64 years: 13.57% (male 76,591/female 93,194)
65 years and over: 19.85% (male 84,466/female 163,956) (2017 est.)",16.23,8.99,41.37,13.57,19.85,104130,98941,58432,54122,261366,256383,76591,93194,84466,163956,"-3.2 migrant(s)/1,000 population (2017 est.)",-3.2,10.1,12.6,-2.5,Europe,76.9,72.1,81.9
Ethiopia,"8 00 N, 38 00 E",8.0,38.0,"105,350,020
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",105350020,"total: 17.9 years
male: 17.7 years
female: 18.1 years (2017 est.)",17.9,17.7,18.1,-0.4000000000000021,"0-14 years: 43.47% (male 22,963,502/female 22,826,957)
15-24 years: 20.11% (male 10,516,591/female 10,669,695)
25-54 years: 29.58% (male 15,464,171/female 15,702,104)
55-64 years: 3.91% (male 1,998,711/female 2,115,210)
65 years and over: 2.94% (male 1,391,339/female 1,701,740) (2017 est.)",43.47,20.11,29.58,3.91,2.94,22963502,22826957,10516591,10669695,15464171,15702104,1998711,2115210,1391339,1701740,"-0.2 migrant(s)/1,000 population (2017 est.)",-0.2,36.5,7.7,28.8,Africa,62.6,60.1,65.1
Faroe Islands,"62 00 N, 7 00 W",62.0,-7.0,"50,730 (July 2017 est.)",50730,"total: 37.6 years
male: 37.1 years
female: 38.3 years (2017 est.)",37.6,37.1,38.3,-1.1999999999999955,"0-14 years: 19.89% (male 5,214/female 4,878)
15-24 years: 14.34% (male 3,738/female 3,538)
25-54 years: 37.31% (male 10,252/female 8,676)
55-64 years: 11.69% (male 3,054/female 2,878)
65 years and over: 16.76% (male 4,111/female 4,391) (2017 est.)",19.89,14.34,37.31,11.69,16.76,5214,4878,3738,3538,10252,8676,3054,2878,4111,4391,"0 migrant(s)/1,000 population (2017 est.)",0.0,14.3,8.8,5.5,Europe,80.5,78.0,83.2
Fiji,"18 00 S, 175 00 E",-18.0,175.0,"920,938 (July 2017 est.)",920938,"total: 28.9 years
male: 28.7 years
female: 29.1 years (2017 est.)",28.9,28.7,29.1,-0.4000000000000021,"0-14 years: 27.7% (male 130,394/female 124,734)
15-24 years: 16.13% (male 75,803/female 72,774)
25-54 years: 41.08% (male 193,700/female 184,629)
55-64 years: 8.53% (male 39,853/female 38,748)
65 years and over: 6.55% (male 27,714/female 32,589) (2017 est.)",27.7,16.13,41.08,8.53,6.55,130394,124734,75803,72774,193700,184629,39853,38748,27714,32589,"-6.5 migrant(s)/1,000 population (2017 est.)",-6.5,18.6,6.1,12.500000000000002,Oceania,73.0,70.3,75.8
Finland,"64 00 N, 26 00 E",64.0,26.0,"5,518,371 (July 2017 est.)",5518371,"total: 42.5 years
male: 40.9 years
female: 44.3 years (2017 est.)",42.5,40.9,44.3,-3.3999999999999986,"0-14 years: 16.43% (male 463,432/female 443,384)
15-24 years: 11.4% (male 321,609/female 307,458)
25-54 years: 37.78% (male 1,064,427/female 1,020,285)
55-64 years: 13.29% (male 360,821/female 372,794)
65 years and over: 21.1% (male 506,342/female 657,819) (2017 est.)",16.43,11.4,37.78,13.29,21.1,463432,443384,321609,307458,1064427,1020285,360821,372794,506342,657819,"2.9 migrant(s)/1,000 population (2017 est.)",2.9,10.7,10.0,0.6999999999999993,Europe,81.0,78.0,84.1
France,"metropolitan France: 46 00 N, 2 00 E
French Guiana: 4 00 N, 53 00 W
Guadeloupe: 16 15 N, 61 35 W
Martinique: 14 40 N, 61 00 W
Mayotte: 12 50 S, 45 10 E
Reunion: 21 06 S, 55 36 E",46.0,2.0,"67,106,161
note: the above figure is for metropolitan France and five overseas regions; the metropolitan France population is 62,814,233 (July 2017 est.)",67106161,"total: 41.4 years
male: 39.6 years
female: 43.1 years (2017 est.)",41.4,39.6,43.1,-3.5,"0-14 years: 18.53% (male 6,360,218/female 6,076,598)
15-24 years: 11.79% (male 4,045,901/female 3,864,395)
25-54 years: 37.78% (male 12,773,900/female 12,578,256)
55-64 years: 12.42% (male 4,020,507/female 4,315,407)
65 years and over: 19.48% (male 5,648,888/female 7,422,091) (2017 est.)",18.53,11.79,37.78,12.42,19.48,6360218,6076598,4045901,3864395,12773900,12578256,4020507,4315407,5648888,7422091,"1.1 migrant(s)/1,000 population (2017 est.)",1.1,12.2,9.3,2.8999999999999986,"metropolitan France: Europe
French Guiana: South America
Guadeloupe: Central America and the Caribbean
Martinique: Central America and the Caribbean
Mayotte: Africa
Reunion: World",81.9,78.8,85.2
French Polynesia,"15 00 S, 140 00 W",-15.0,-140.0,"287,881 (July 2017 est.)",287881,"total: 31.9 years
male: 31.7 years
female: 32.1 years (2017 est.)",31.9,31.7,32.1,-0.4000000000000021,"0-14 years: 22.52% (male 33,340/female 31,481)
15-24 years: 15.73% (male 23,533/female 21,745)
25-54 years: 44.36% (male 65,464/female 62,254)
55-64 years: 9.42% (male 13,947/female 13,178)
65 years and over: 7.97% (male 11,090/female 11,849) (2017 est.)",22.52,15.73,44.36,9.42,7.97,33340,31481,23533,21745,65464,62254,13947,13178,11090,11849,"-0.8 migrant(s)/1,000 population (2017 est.)",-0.8,14.8,5.2,9.6,Oceania,77.4,75.1,79.8
Gabon,"1 00 S, 11 45 E",-1.0,11.75,"1,772,255
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",1772255,"total: 18.6 years
male: 18.4 years
female: 18.8 years (2017 est.)",18.6,18.4,18.8,-0.4000000000000021,"0-14 years: 41.9% (male 373,307/female 369,237)
15-24 years: 20.46% (male 181,823/female 180,837)
25-54 years: 29.52% (male 262,511/female 260,673)
55-64 years: 4.36% (male 37,178/female 40,014)
65 years and over: 3.76% (male 28,664/female 38,011) (2017 est.)",41.9,20.46,29.52,4.36,3.76,373307,369237,181823,180837,262511,260673,37178,40014,28664,38011,"-2 migrant(s)/1,000 population (2017 est.)",-2.0,34.2,13.0,21.200000000000006,Africa,52.1,51.7,52.5
